1,8,707,743,751,17,808,811,0
2,9,704,742,755,23,818,820,1
3,5,713,746,753,14,807,811,0
4,11,702,735,743,23,803,815,1
5,2,716,747,752,14,806,810,1
8,4,710,745,750,16,807,810,1
9,6,715,744,749,15,804,816,0
10,7,721,750,756,16,812,815,0
11,9,800,900,915,15,930,812,1
12,6,706,740,746,12,802,805,0
13,3,830,900,908,18,926,808,1
14,4,800,840,900,17,917,816,1
15,11,703,743,750,18,808,753,1
16,8,702,731,745,19,804,759,1
17,7,708,749,754,15,809,812,0
18,5,706,756,800,14,815,810,1
19,5,707,742,750,16,806,810,0
20,10,710,740,752,13,805,800,1
21,9,713,746,759,18,817,820,0
22,7,741,747,756,18,812,823,0
23,7,659,725,740,16,756,755,1
24,3,645,733,739,16,755,812,0
